"","GVKEY","fyear","ebit","leverage_ratio","cash_flow"
"4358",9999,2008,-0.657,0.010395963564091,37.655
"4359",9999,2009,-6.455,0.0238392275981775,10.259
"4360",9999,2010,25.898,0.0191803996349417,60.571
"4361",9999,2011,31.179,0.0184713202305121,-24.043
"4362",10000,2010,48.173,0.0257893145509039,0.776999999999997
"4363",10000,2011,61.702,0.000542923652950127,-0.0169999999999959
"4364",10000,2012,72.174,0.000338192905233145,0.861000000000004
"4365",10000,2013,89.198,0.000121847599521058,-6.441
"4366",10000,2015,79.724,0.000114526681780273,6.00500000000001
"4367",10002,2008,-974.088,0.672009828193296,402.801
"4368",10002,2009,-28.014,0.621557852156704,-30.286
"4369",10002,2010,52.88,0.618930085138082,135.812
"4370",10002,2011,11.395,0.60214426306693,-320.849
"4371",10002,2012,81.705,0.495336121145851,-63.967
"4372",10002,2013,249.256,0.502332674786769,16.736
"4373",10002,2014,351.396,0.511707494693874,-150.898
"4374",10008,2009,35.135,0.217426892224971,-17.59
"4375",10008,2010,44.633,0.209062044147271,22.885
"4376",10008,2011,52.958,0.104863077878734,-21.135
"4377",10008,2012,61.951,0.104207698447931,42.711
"4378",10008,2013,68.575,0.0980702073944372,-3.422
"4379",10008,2014,76.401,0.0779299847792998,22.301
"4380",10008,2015,83.345,0.156026961827298,30.131
"4381",10008,2016,82.457,0.13341019064185,30.797
"4382",10008,2017,81.778,0.221253094473052,-30.922
"4383",10016,2008,473.3,0.293777668470241,3.79999999999995
"4384",10016,2009,380.3,0.271057432219916,175.2
"4385",10016,2010,912.4,0.226838580128671,1322.5
"4386",10016,2011,1196,0.216452442159383,-837.2
"4387",10016,2012,1162.7,0.223232769502651,-188.5
"4388",10016,2013,1180.8,0.230376592823751,-174.9
"4389",10016,2014,1353.8,0.242644692758579,147.5
"4390",10016,2015,1428.5,0.253204853581856,101.7
"4391",10016,2016,1498.9,0.244523469929453,768.1
"4392",10030,2009,-0.36,0.0097198840615524,4.83
"4393",10030,2010,-0.523,0.00481677276224929,10.703
"4394",10030,2011,11.05,0.00410249186764622,-1.092
"4395",10056,2008,52.282,0.233681485609506,3.191
"4396",10056,2009,104.888,0.164117798244411,89.739
"4397",10056,2010,108.697,0.236091546909103,11.245
"4398",10056,2011,118.756,0.221340601341889,-26.114
"4399",10056,2012,128.716,0.185089875167178,-7.95500000000001
"4400",10056,2013,107.029,0.231856182563087,59.009
"4401",10056,2014,106.016,0.235738123637065,-42.118
"4402",10056,2015,120.528,0.268317709438306,100.234
"4403",10056,2016,141.095,0.234149746286626,51.869
"4404",10086,2010,0.448,0.0640743213758077,37.564
"4405",10115,2008,1553.9,0.00269619770362869,439.9
"4406",10115,2009,1598.9,0.00198428009215879,-61
"4407",10115,2010,1850.6,0.0937852796211141,1162
"4408",10115,2011,1971,0.142523176138654,-862
"4409",10115,2012,1909,0.133424201120703,472
"4410",10115,2013,1486,0.175570094645239,-31
"4411",10115,2014,1465,0.224298537797098,533
"4412",10115,2015,1975,0.247553394472826,1714
"4413",10115,2016,2410,0.338341081477857,-18
"4414",10156,2008,1473,0.166188340807175,-408
"4415",10156,2009,77,0.173770491803279,137
"4416",10159,2009,-1.701,0.265348523148308,-1.494
"4417",10190,2014,496,0.6082497212932,31
"4418",10190,2015,483,0.577574370709382,-57
"4419",10190,2016,229,0.412011173184358,275
"4420",10195,2014,27.613,0,-132.42
"4421",10195,2015,44.278,0,-6.945
"4422",10195,2016,54.624,0,6.126
"4423",10200,2008,13.994,0,6.342
"4424",10200,2009,3.758,0,-14.091
"4425",10200,2010,16.143,0,13.809
"4426",10200,2011,3.441,0,-4.102
"4427",10200,2012,2.724,0,-3.446
"4428",10213,2009,3.333,0,0.925
"4429",10213,2010,4.416,0,4.936
"4430",10213,2011,2.129,0,0.157
"4431",10221,2008,-404.935,0.382722330895651,-5.33999999999992
"4432",10221,2009,-28.689,0.32855345648939,38.186
"4433",10221,2010,105.948,0.270058836160618,47.898
"4434",10221,2011,173.88,0.325326592146602,165.329
"4435",10221,2013,70.408,0.423333660675077,3.10700000000008
"4436",10221,2014,-361.929,0.494414375615123,-2.87099999999998
"4437",10235,2009,-33.58,0.0312250305672312,0.226999999999997
"4438",10235,2010,-40.653,0.111502581488622,0.248999999999999
"4439",10236,2008,8.944,0.11048470847551,0.0690000000000008
"4440",10236,2009,0.702,0,13.999
"4441",10236,2010,6.192,0.00269124423963134,-13.988
"4442",10236,2011,8.806,0.087447935622144,0.00099999999999989
"4443",10236,2012,7.789,0.268451992161986,0.975
"4444",10236,2013,1.814,0.143562415778513,0.692
"4445",10247,2009,1872.211,0.242413757427971,544.035
"4446",10247,2010,1975.868,0.240518122447025,-437.922
"4447",10247,2011,1931.502,0.218394975036351,34.0550000000001
"4448",10247,2012,1897.047,0.249553120089902,57.902
"4449",10247,2013,1688.111,0.224834090035279,-274.496
"4450",10247,2014,1728.306,0.204203691538926,0.119000000000142
"4451",10247,2015,1786.232,0.403080367692294,4798.7
"4452",10247,2016,2009.248,0.439297039960521,-1072.417
"4453",10247,2017,2253.963,0.461289133567105,-3027.745
"4454",10297,2009,-16.623,0.037106406724924,7.163
"4455",10297,2010,-10.643,0.0328150245834709,6.24
"4456",10297,2011,10.868,0.0332391509092226,-3.88
"4457",10297,2012,17.986,0.0214591026722108,5.732
"4458",10297,2013,13.808,0.0216724503190757,1.575
"4459",10297,2014,1.695,0.00386489265014825,9.461
"4460",10297,2015,24.08,0.000746801292985855,9.699
"4461",10297,2016,13.712,0.203942501013631,-18.492
"4462",10305,2008,0.998,0,2.487
"4463",10305,2009,0.317,0,1.595
"4464",10305,2010,0.482,0,-1.167
"4465",10305,2011,-0.002,0,2.869
"4466",10305,2012,-0.716,0,-5.634
"4467",10305,2013,0.025,0,0.961
"4468",10305,2014,0.432,0,0.828
"4469",10305,2015,0.838,0,0.844
"4470",10305,2016,0.562,0,1.21
"4471",10332,2008,328.7,0.32077950514561,305.1
"4472",10332,2009,370.9,0.258428353846787,93.4
"4473",10332,2010,379.4,0.294106830927645,-338.8
"4474",10345,2008,-7.516,0.377601336708606,0.00100000000000033
"4475",10345,2009,-7.381,0.483353565208212,-0.0530000000000008
"4476",10345,2010,-18.735,0.691991679667187,-2.22044604925031e-16
"4477",10353,2008,40.298,0.295381649095212,7.97800000000001
"4478",10353,2009,27.295,0.18174716686353,2.122
"4479",10353,2010,42.077,0.214016867049617,0.635999999999999
"4480",10353,2011,56.814,0.212666052482986,9.723
"4481",10353,2012,54.61,0.158508310462991,11.881
"4482",10353,2013,51.203,0.152020555077834,2.60899999999999
"4483",10353,2014,68.465,0.149826375963332,1.615
"4484",10353,2016,11.993,0.319770998886195,2.71799999999999
"4485",10364,2010,10.744,0,5.615
"4486",10364,2012,-1.453,0,-7.175
"4487",10364,2013,-1.546,0,0.754
"4488",10364,2014,-1.605,0,0.399
"4489",10364,2015,-1.208,0,-0.585
"4490",10364,2016,-2.989,0,0.313
"4491",10364,2017,-1.438,0,-1.305
"4492",10374,2008,52.181,0.445751521929158,-81.18
"4493",10374,2009,11.07,0.344817602017315,-3.49499999999999
"4494",10374,2010,16.962,0.365762982025744,-2.92600000000001
"4495",10374,2011,-1.064,0.541695255337673,-18.243
"4496",10374,2012,-0.441,0.513011802882321,13.823
"4497",10374,2013,7.773,0.594940529777476,-4.611
"4498",10385,2008,1869,0.204167063076777,-799
"4499",10385,2009,2458,0.267934255012888,550
"4500",10385,2010,3192,0.169399842514294,-451
"4501",10385,2011,4560,0.205587539086472,3398
"4502",10385,2012,2658,0.207845856082272,-1055
"4503",10385,2013,1972,0.213442776994721,-675
"4504",10385,2014,1112,0.229132169711447,-930
"4505",10385,2015,-2112,0.277732933579336,-446
"4506",10385,2016,1478,0.234163181677847,-416
"4507",10386,2008,-14.1,0.00375704445835942,56.9
"4508",10386,2008,-14.1,0.00375704445835942,56.9
"4509",10386,2009,-57.4,0.0179898318341807,-24.5
"4510",10386,2009,-57.4,0.0179898318341807,-24.5
"4511",10386,2010,-15.5,0.0305854555001313,-23.5
"4512",10386,2010,-15.5,0.0305854555001313,-23.5
"4513",10386,2011,-70.2,0.0299804860741529,-13.8
"4514",10386,2011,-70.2,0.0299804860741529,-13.8
"4515",10386,2012,-43,0.0212161394203448,6.2
"4516",10386,2012,-43,0.0212161394203448,6.2
"4517",10386,2013,-25.8,0.0510874025441116,-0.6
"4518",10386,2013,-25.8,0.0510874025441116,-0.6
"4519",10386,2014,-21.5,0.0681302043906132,-7.4
"4520",10390,2011,20.874,0.000900688250055905,-3.655
"4521",10390,2014,2.126,0.17231292595721,-3.393
"4522",10390,2016,-7.906,0.16762754690119,-0.672000000000001
"4523",10405,2008,869.2,0.122242470746211,-153.4
"4524",10405,2009,92.7,0.246456511734929,238.9
"4525",10405,2010,185.4,0.205158447569877,-276.5
"4526",10405,2011,465.8,0.245084258049579,-51.7
"4527",10405,2012,328.4,0.234162425173661,-76
"4528",10405,2013,31.7,0.282278756251359,722.2
"4529",10405,2014,106.8,0.229255917114818,-757.3
"4530",10405,2015,-178.5,0.25936679590382,-119.7
"4531",10405,2016,-85.2,0.342727272727273,79.8
"4532",10407,2008,367.394,0.39248700704706,-86.291
"4533",10407,2009,294.15,0.31062788404808,72.084
"4534",10407,2010,276.127,0.243170823091524,24.277
"4535",10407,2011,248.901,0.243319046416468,387.167
"4536",10407,2012,244.658,0.258130973229822,-249.443
"4537",10407,2013,276.04,0.30448678274947,86.504
"4538",10407,2014,294.56,0.268627734455045,-109.275
"4539",10407,2015,327.659,0.274832435911055,60.379
"4540",10407,2016,374.913,0.265552926555293,232.814
"4541",10411,2012,245.238,0.199770869328262,177.206
"4542",10411,2013,-111.422,0.193361587583853,89.533
"4543",10411,2014,-204.37,0.223914635544265,-358.113
"4544",10411,2015,142.676,0.260455600669974,512.742
"4545",10411,2016,58,0.258839720516621,-85
"4546",10420,2008,59.8,0,161.4
"4547",10420,2009,106.5,0,-229.4
"4548",10420,2010,199.7,0,55.8
"4549",10420,2011,-79.9,0,-70.7
"4550",10420,2012,-37.7,0,87.5
"4551",10426,2008,111,0.567728744249446,-183
"4552",10426,2009,192,0.532142231564197,-6
"4553",10426,2010,213,0.515484853613132,-9
"4554",10441,2008,39.84,0.208800185718916,-2.358
"4555",10441,2009,19.542,0.0905524110069204,-12.217
"4556",10441,2010,39.175,0.0763696899432207,22.168
"4557",10441,2011,56.967,0.085925678000858,13.165
"4558",10441,2012,62.679,0.0768205152581044,1.392
"4559",10441,2013,65.42,0.0696966509316117,26.922
"4560",10441,2014,72.097,0.0577842491354029,13.454
"4561",10441,2015,68.119,0.057028186770608,-39.754
"4562",10441,2016,68.647,0.0770024487433968,7.877
"4563",10443,2008,159,0.497524752475248,-43
"4564",10443,2009,133,0.405139035550862,35
"4565",10443,2010,312,0.366908746447742,57
"4566",10443,2011,408,0.348216961342523,-5
"4567",10443,2012,450,0.296563192904656,3
"4568",10451,2008,2.198,0,-1.883
"4569",10451,2009,4.667,0,-0.328
"4570",10451,2010,4.118,0,-1.459
"4571",10451,2011,4.482,0,-0.866000000000001
"4572",10451,2012,6.595,0,2.828
"4573",10451,2013,5.846,0,-0.151999999999997
"4574",10451,2014,4.371,0,0.145
"4575",10451,2015,5.758,0.0161899540040818,1.196
"4576",10453,2008,18.309,0.0991704493109475,-239.666
"4577",10453,2009,-71.591,0.11596592670664,93.484
"4578",10453,2010,416.375,0.0843105357788942,-18.486
"4579",10453,2011,256.095,0.0742603051485421,175.999
"4580",10453,2012,285.736,0.0713719130053574,-234.816
"4581",10453,2013,192.739,0.0709792746586844,2.71799999999996
"4582",10453,2014,203.283,0,-47.3819999999999
"4583",10453,2015,249.616,0,-29.551
"4584",10453,2016,300.212,0.127663309916079,43.179
"4585",10466,2008,513,0.216736176510157,-3
"4586",10466,2009,17,0.228128872366791,393
"4587",10466,2010,106,0.228469995419148,235
"4588",10466,2011,1110,0.171957137080469,252
"4589",10466,2012,1686,0.148570360680247,739
"4590",10466,2013,836,0.211292852341474,-401
"4591",10466,2014,1646,0.256874095513748,-238
"4592",10466,2015,2884,0.249387705118785,-58
"4593",10466,2016,1490,0.339886263359153,2353
"4594",10484,2008,-133,0.464291344789532,37
"4595",10484,2009,-1,0.490258978170722,381
"4596",10499,2008,2735,0,-282
"4597",10499,2009,2203,0,136
"4598",10499,2010,4406,0,137
"4599",10499,2011,3482,0.224081572913109,-327
"4600",10499,2012,2235,0.284001798111982,424
"4601",10499,2013,2661,0.272362445876016,211
"4602",10499,2014,3905,0.261934318925629,-428
"4603",10499,2015,4213,0.25385089340727,-199
"4604",10499,2016,4784,0.219645791491693,154
"4605",10519,2008,1616,0.415684315684316,23
"4606",10519,2009,367,0.48843717001056,1321
"4607",10519,2012,1080,0.305915752321031,524
"4608",10530,2008,1266.3,0.0975960170697013,741.8
"4609",10530,2009,1120.8,0.100966473988439,272.2
"4610",10530,2010,1344.3,0.100101173803479,-656.2
"4611",10530,2011,1479.9,0.228369550229748,99.4000000000001
"4612",10530,2012,1632.3,0.257766555169323,-204
"4613",10530,2013,1781.1,0.3212871193909,5057.4
"4614",10530,2014,2363.1,0.339866657643383,-4367
"4615",10530,2015,2506.8,0.305145638191201,-761.8
"4616",10530,2016,2843.8,0.341438762729402,484.8
"4617",10540,2008,337.404,0.27418213375746,169.448
"4618",10540,2009,204.956,0.260265011064206,149.661
"4619",10540,2010,235.163,0.218209059209624,-32.075
"4620",10540,2011,291.294,0.203545251106607,106.483
"4621",10549,2009,27.483,0,32.767
"4622",10549,2010,159.169,0,25.817
"4623",10549,2011,143.841,0,-32.316
"4624",10549,2012,176.487,0,3.20699999999999
"4625",10549,2013,220.535,0,17.959
"4626",10549,2017,559.811,0.0592169999894446,13.3560000000001
"4627",10550,2008,25.73,0.209981536232223,86.435
"4628",10550,2009,59.331,0.176716580247724,-80.448
"4629",10550,2010,109.939,0.164925281381044,29.219
"4630",10550,2011,121.325,0,-15.073
"4631",10550,2012,127.137,0,58.303
"4632",10550,2013,108.282,0,37.3
"4633",10550,2014,68.917,0,-66.626
"4634",10553,2008,25.321,0.110171167434284,33.268
"4635",10565,2010,136.758,0.186760495139425,22.65
"4636",10565,2011,126.829,0.233896934669878,74.99
"4637",10565,2012,204.823,0.239920058636462,-280.141
"4638",10565,2013,249.802,0.310053831192209,19.79
"4639",10565,2014,241.299,0.322629044174694,18.209
"4640",10565,2015,29.336,0.41123147422517,599.87
"4641",10565,2016,-88.225,0.485390146130753,27.966
"4642",10567,2008,161.642,0.780720228187189,183.725
"4643",10567,2010,134.895,0.355310686570178,20.995
"4644",10567,2011,153.956,0.361469659516845,46.804
"4645",10567,2012,205.464,0.459759893285905,395.653
"4646",10567,2015,355.789,0.619956844723362,30.605
"4647",10567,2016,321.725,0.664736749860914,42.748
"4648",10581,2008,522.237,0.117361581111319,102.764
"4649",10581,2009,121.112,0.121371346826581,603.897
"4650",10581,2010,464.2,0.117524638790546,126.9
"4651",10581,2011,743.5,0.113301624503113,-402.9
"4652",10581,2012,727.8,0.109477701604354,117.8
"4653",10581,2013,465.4,0.102123763371223,-195.3
"4654",10581,2014,355.5,0.174152062370894,-89.9
"4655",10581,2015,306.5,0.213872832369942,-132
"4656",10581,2016,255.3,0.232026973135627,21.6
"4657",10597,2008,2.896,0,-8.049
"4658",10597,2009,10.336,0,3.62
"4659",10609,2008,66.527,0.00923540682582762,11.302
"4660",10609,2009,76.079,0.00894724347358237,22.082
"4661",10609,2010,65.731,0.00871704810532054,24.986
"4662",10609,2011,57.966,0.0087427260519248,-37.364
"4663",10609,2012,69.479,0.00885753191368749,-14.75
"4664",10609,2013,72.353,0.00844205765587697,24.421
"4665",10609,2014,83.923,0.00913678373788701,13.646
"4666",10609,2015,91.082,0.00892645957075105,28.638
"4667",10609,2016,92.414,0.00876642890291392,-4.721
"4668",10614,2012,853.558,0.0577114125806642,-24.312
"4669",10614,2013,852.348,0.0544678399168326,-31.0170000000001
"4670",10614,2016,855.58,0.0529499623695313,16.4810000000002
"4671",10615,2009,-10.009,0.562153260254233,-2.169
"4672",10615,2010,-9.651,0.342914685091576,10.814
"4673",10618,2009,119.556,0.262192872088573,84.205
"4674",10618,2010,152.045,0.254677503494719,-9.59100000000001
"4675",10618,2011,185.453,0.260900026761215,-95.501
"4676",10618,2012,206.719,0.240954064322139,45.434
"4677",10618,2013,231.755,0.222931384555242,58.805
"4678",10618,2014,264.743,0.296839607016014,133.68
"4679",10618,2015,301.842,0.289916527187345,-186.752
"4680",10618,2016,335.483,0.255064799159362,152.441
"4681",10618,2017,356.207,0.222178262362706,31.722
"4682",10658,2008,-1.514,0.444293665309654,-5.169
"4683",10658,2009,-4.352,0.506374891112108,-0.881
"4684",10671,2009,2711,0.425743025934627,-201
"4685",10671,2010,2579,0.424413488162442,-225
"4686",10671,2011,3221,0.416328196754771,-5
"4687",10671,2012,2622,0.411871806012455,-88
"4688",10671,2013,2876,0.443949682734053,348
"4689",10671,2014,3292,0.439666140770523,-438
"4690",10671,2015,3666,0.527363801311974,249
"4691",10671,2016,4600,0.500630316521107,293
"4692",10692,2011,7.022,0.133736584388423,6.302
"4693",10735,2008,547,0.387709019895032,-127.8
"4694",10735,2009,292.7,0.396250322137273,450
"4695",10735,2010,298.9,0.504809027777778,-257.8
"4696",10735,2011,383.1,0.486015356967816,-2.90000000000001
"4697",10735,2012,546.9,0.458027856489603,221.9
"4698",10735,2013,751.7,0.408811223234064,-144.5
"4699",10735,2014,1155.3,0.406810323112505,459.4
"4700",10735,2015,1260.1,0.359603416648848,-101.9
"4701",10735,2016,724.8,0.334958850667923,-222.6
"4702",10740,2009,-1.448,0.0584320320606863,0.147
"4703",10740,2010,0.07,0.0743217332949861,-2.998
"4704",10740,2011,-0.661,0.0917042578941578,0.112
"4705",10740,2012,-4.08,0.119185282522996,-1.582
"4706",10761,2015,-10.006,0.0494035269709544,3.764
"4707",10787,2009,1595,0.167260204281298,845
"4708",10787,2010,1708,0.154379239162489,-586
"4709",10787,2011,2059,0.15490906374874,-369
"4710",10787,2012,994,0.120582288718156,41
"4711",10787,2013,1175,0.120154402102497,-300
"4712",10787,2014,1177,0.123888559573207,349
"4713",10787,2015,1204,0.25533641749858,542
"4714",10789,2008,37.14,0,-7.88
"4715",10789,2009,44.784,0,7.934
"4716",10789,2010,41.641,0.100366622227609,-7.582
"4717",10789,2011,46.517,0.205490350078371,-0.787999999999997
"4718",10789,2012,56.577,0.0532048534649661,5.08000000000001
"4719",10789,2013,67.128,0,72.47
"4720",10793,2009,362,0.335252477583766,748
"4721",10793,2010,1539,0.235863095238095,-27
"4722",10793,2011,1285,0.197091500316141,-256
"4723",10793,2012,1263,0.2044384667115,356
"4724",10793,2013,1375,0.197749856286442,71
"4725",10793,2014,1589,0.341375855735515,-707
"4726",10793,2015,2305,0.292340462528256,265
"4727",10793,2016,2870,0.280650784427658,-345
"4728",10793,2017,3330,0.335815577567163,-35
"4729",10795,2008,-1794,0.418734905708854,780
"4730",10795,2009,294,0.457236137871976,1003
"4731",10795,2010,1659,0.382165765947775,5027
"4732",10795,2011,2307,0.33523744340318,-1823
"4733",10795,2012,1362,0.349899011374508,-1476
"4734",10795,2013,1769,0.337091165924155,-1550
"4735",10795,2014,2816,0.324338071908548,-1218
"4736",10795,2015,5492,0.287780524216245,1004
"4737",10795,2016,4976,0.291604384653712,-909
"4738",10813,2008,398.856,0.1582645256095,-32.504
"4739",10813,2009,400.846,0.116590020068316,496.623
"4740",10813,2010,496.572,0.0954677062936017,-147.355
"4741",10816,2008,-188,0.348802712439076,191
"4742",10816,2009,-159,0.47888699048084,212
"4743",10816,2010,-150,0.56471739662344,-67
"4744",10816,2011,-122,0.619521376714171,-259
"4745",10816,2012,91,0.620198764437282,177
"4746",10816,2013,277,0.571463237078379,271
